Sn6As2-C3N-NM,Sn6As2-C3N-NM
Sn6N2-C3N-NM,Sn6N2-C3N-NM
Sn6P2-C3N-NM,Sn6P2-C3N-NM
Sn6Sb2-C3N-NM,Sn6Sb2-C3N-NM
Sc2S2-CH-FM,Sc2S2-CH-FM
Sc2S2-CH-NM,Sc2S2-CH-NM
Sc2Se2-CH-FM,Sc2Se2-CH-FM
Sc2Se2-CH-NM,Sc2Se2-CH-NM
Sc2Te2-CH-FM,Sc2Te2-CH-FM
Sc2F2-CH-FM,Sc2F2-CH-FM
Sc2Cl2-CH-FM,Sc2Cl2-CH-FM
Sc2Br2-GaSe-FM,Sc2Br2-GaSe-FM
Sc2I2-CH-FM,Sc2I2-CH-FM
Ti2S2-CH-NM,Ti2S2-CH-NM
Ti2Se2-CH-NM,Ti2Se2-CH-NM
Ti2Te2-CH-FM,Ti2Te2-CH-FM
Ti2F2-CH-NM,Ti2F2-CH-NM
Ti2Cl2-CH-NM,Ti2Cl2-CH-NM
Ti2Cl2-CH-AFM,Ti2Cl2-CH-AFM
Ti2Br2-CH-NM,Ti2Br2-CH-NM
Ti2Br2-CH-AFM,Ti2Br2-CH-AFM
Ti2I2-CH-FM,Ti2I2-CH-FM
Ti2I2-CH-NM,Ti2I2-CH-NM
V2S2-CH-NM,V2S2-CH-NM
V2Se2-CH-NM,V2Se2-CH-NM
V2Te2-CH-NM,V2Te2-CH-NM
V2Te2-CH-AFM,V2Te2-CH-AFM
V2F2-CH-NM,V2F2-CH-NM
V2Cl2-CH-NM,V2Cl2-CH-NM
V2Br2-CH-FM,V2Br2-CH-FM
V2Br2-CH-NM,V2Br2-CH-NM
V2Br2-CH-AFM,V2Br2-CH-AFM
V2I2-CH-NM,V2I2-CH-NM
V2I2-CH-AFM,V2I2-CH-AFM
Cr2S2-CH-FM,Cr2S2-CH-FM
Cr2Se2-CH-FM,Cr2Se2-CH-FM
Cr2Se2-CH-AFM,Cr2Se2-CH-AFM
Cr2Te2-CH-AFM,Cr2Te2-CH-AFM
Cr2F2-CH-NM,Cr2F2-CH-NM
Cr2Cl2-CH-AFM,Cr2Cl2-CH-AFM
Cr2Br2-CH-AFM,Cr2Br2-CH-AFM
Cr2I2-CH-FM,Cr2I2-CH-FM
Cr2I2-CH-AFM,Cr2I2-CH-AFM
Mn2S2-CH-AFM,Mn2S2-CH-AFM
Mn2Se2-CH-AFM,Mn2Se2-CH-AFM
Mn2Te2-CH-FM,Mn2Te2-CH-FM
Mn2Te2-CH-AFM,Mn2Te2-CH-AFM
Mn2Br2-CH-AFM,Mn2Br2-CH-AFM
Fe2S2-CH-AFM,Fe2S2-CH-AFM
Fe2Se2-CH-FM,Fe2Se2-CH-FM
